percentile,threshold_deg,markers,domains,median_volume_um3,median_diameter_um,median_spread_deg,matched_overlap,vi_bits
5.0,0.002479039365425706,531,531,324.384,8.524853692562463,0.408457598369576,0.31052890775992814,3.2520383002075395
10.0,0.0033775772899389267,952,952,169.26,6.8630620264354425,0.3627237894216653,0.4102507708320127,2.6899675375278456
15.0,0.004189562518149614,1241,1241,133.424,6.33984214732616,0.3463442480937994,0.46722506229368777,2.4212799845117132
20.0,0.00501437159255147,1445,1445,112.592,5.991050363148763,0.3357047451185966,0.5062928534864906,2.2522267513024765
25.0,0.005918969865888357,1661,1661,92.752,5.616186918202444,0.32406400717086037,0.5231203524102092,2.165116492200239
30.0,0.006956297904253006,1811,1811,79.36,5.331724235035431,0.31732408297778497,0.5277686777803732,2.1417661594542334
35.0,0.008246725425124168,1882,1882,66.836,5.035049871977886,0.3119698880057411,0.5162754686455919,2.173072722518416
40.0,0.009980006143450737,1955,1955,56.296,4.755099824428405,0.3117651719286039,0.5079825193709671,2.212443442364725
45.0,0.01270267367362976,1868,1868,48.36,4.520251059212026,0.312347959172003,0.47044726233665346,2.3991685379220744
50.0,0.01961381360888481,1543,1543,40.92,4.275422130486721,0.32063039569279583,0.38442081006256623,2.925246329030424
